Question Number,Question,A,B,C,D,Answer
21,"The sale price of Government publication shall be fixed at _______ above the cost price.","75 percentage","50 percentage","25 percentage","None of the above","B"
22,"Amount due to Government from Local bodies shall be recovered under which method of following:","the due liability may be recovered in 10 instalments","the due liability may be recovered in 20 instalments","subject to recovery by adjustment from the grant-in-aid sanctioned by government","none of the above","C"
23,"A refund of revenue to be sanctioned exgratia should be rejected if the application for such refund of revenue is received after ______ months.","three year","two year","six months","one year","D"
24,"Forsaking of recovery of overpayment includes","'waiver of revenue' of overpayment","'abandonment of revenue' arising from taxation laws","'abandonment of revenue' arising from Land revenue","all the above","A"
25,"Which of the following principles includes the 'standard of financial propriety'?","the expenditure should not be prima facie more than the occasion demands","a Government servant should not exercise his power of sanctioning expenditure so as to pass an order directly or indirectly to his own advantage","public money should not be utilised for the benefit of a particular person","all the above","D"
26,"The Form of Register of Tender is","KFC Form 15","TR Form 15","KFC Form 16","TR Form 16","A"
27,"Every order sanctioning expenditure should be communicated to","heads of department","finance department","district treasury officer","accountant general","D"
28,"Any sanction order which met an expenditure from the budget provision of a specified financial year shall lapse at","lapse after one year from the date of sanction","lapse at the close of financial year","shall not lapse","shall lapse after three financial years","B"
29,"A claim against the Government not preferred within ______ years of its becoming due, should be paid only after sanction from Head of Department concerned.","one year","four year","two year","three year","C"
30,"Which claim of the following shall due for the payment on the last day of the month in which they are earned?","arrear salary","scholarship","last salary","salary advance","B"
31,"Form used for maintaining Register of fidelity Guarantee policies is","KFC Form 44","KFC Form 43","KFC Form 45","KFC Form 46","B"
32,"The time limit to be replied against objection slips received from, Accountant General is","within a fortnight from the date of receipt of the objection slip","within a month from the date of receipt of the objection slip","within three months from the date of receipt of the objection slip","none of the above","A"
33,"The first replies to inspection reports should be sent within ________ period from the date of receipt of the inspection report.","two weeks","three weeks","four weeks","two months","C"
34,"From the following which department is getting the salary on first day of the month","Registration department","Rural development","Civil supplies department","Medical and Public health","A"
35,"A post created over and above the sanctioned strength without increasing the sanctioned strength and to accommodate the lien of an officer is called","Substantive post","Officiating post","Temporary post","Supernumerary post","D"
36,"The Form Register of Increment is","KFC Form 9A","KFC Form 9B","KFC Form 10","KFC Form 10A","A"
37,"From the following which officers Travelling Allowance bills need not require countersignature","District collectors","Chairman, Public Service Commission","Chief Secretary","All the above","D"
38,"The authority competent to sanction Travelling Allowance advance to the Head of Department is","Chief Secretary","Concerned Secretary","Head of Department himself","None of the above","C"
39,"When Government servants are transferred from one office to another their service book should be made available to the new office as soon as possible within _______ of the transfer.","three month","two month","one month","six month","C"
40,"Deduction on account of attachment of pay and allowances by Civil court the proportion of recovery to be made in execution of any decree for maintenance is","thirty percentage of salary","one third of salary","fifty percentage of salary","twenty five percentage of salary","B"
41,"The incidental expenditure which is necessary incurred in running an office is","Miscellaneous expense","Contingent charges","Contingency fund","General charges","B"
42,"Fund provided to an officer to meet unforseen expenditure often has to be incurred urgently is termed as","Permanent advance","Temporary advance","Civil advance","M.P.W. advance","A"
43,"Bills which are sent straight to the Accountant General for Audit without any scrutiny by a controlling Authority is called","Countersigned contingencies","Non Countersigned contingencies","Audited contingencies","None of the above","C"
44,"A contingent bill should not ordinarily be endorsed for payment to a private party in march","after 15th","after 10th","after 7th","after 25th","A"
45,"The purchase of new machinery on a large scale under contingencies should be treated as _______ of budget.","Part I Schemes","Part II Schemes","Part III Schemes","None of the above","B"
46,"Each minor head is divided into a number of subordinate heads generally known as","sub head","sub-minor head","detailed head","sector head","A"
47,"Expenditure on the construction of Government non-residential buildings for administrative purpose will be accounted for under the major head","2059 public works","4059 capital outlay on public works","(1) or (2) above","none of the above","C"
48,"Expenditure on the construction of buildings for purely functional purpose such as those for schools, colleges etc. will be accounted for under the relevant major heads closely connected with the functions such as","""2202 - General Education""","""4202 - Capital outlay on Education, Sports, Art and Culture""","""2210 - Medical & Public Health""","All the above","D"
49,"The transactions of Government are classified according to _______ system.","Five-tier","Four-tier","Three-tier","None of the above","A"
50,"How many members consisted in Public Accounts Committee?","nine","ten","eleven","twelve","C"
51,"Who shall elect the members of committee on Estimates?","Council of Ministers of State","Governor","MLAs and MPs","Assembly","D"
52,"Who will sign the report on behalf of the Committee on Estimates?","Chief Minister","Speaker","Governor","Chairman of the Committee","D"
53,"The purchase of elephants requires the sanction of","Government","Director of Museum & Zoo","Chief Conservator of Forest","Divisional Forest Officer","A"
54,"Who shall be authorised to purchase Belts and badges?","Heads of Departments","District collectors","(1) and (2) above","Government","C"
55,"From the following which article is not included in ""Store""?","Furniture","Tools and Plants","Scientifical instruments","Dietary products","D"
56,"For purchase of articles the requirements of stores for next financial year may be prepared on the basis of the consumption during the period of","Consumption during the previous 3 or 5 years","Consumption during the previous 3 or 4 years","Consumption during the previous 2 or 3 years","Consumption during the previous one year","A"
57,"While inviting tenders for ordinary stores which can be procured from Indian market the time allowed for submission of tenders is","one month","two months","three months","sixty days","A"
58,"In the case of articles which cannot be stocked conveniently, which system of contract shall be introduced?","running contract","direct purchase","limited tender","schedule contract","A"
59,"The Form of Survey Report is","KFC Form 22","KFC Form 23","KFC Form 25","KFC Form 21","D"
60,"The term ""works"" including ________ of the following.","Works of construction","Manufacture","Supply of stores","All the above","D"
61,"From the following which type of the work of the following is treated as ordinary repair?","painting","white washing","spreading a new coating of metal on a road","all the above","D"
62,"If a contractor agreed of execute a complete work with all its contingencies in accordance with the drawings and specifications for a fixed sum such contract is called","piece-work agreement","schedule contract","lumpsum contract","percentage rate contract","C"
63,"All wages not claimed within ________ months should be forfeited.","one month","two months","six months","three months","D"
64,"KPW Form 21 related with","Register of Tender","Measurement Book","Building Register","Agreement Register","B"
65,"The checking on a work intended to detect errors and prevent fraudulent entries is","Inspection of work","Measurement of a work","Check measurement","Surprise check","C"
66,"In case of acquisition of land for public purposes the compensation of the land be paid at","after possession of the land is taken","before possession of the land is taken","half before and balance after possession","after six months from possession","B"
67,"Allowances paid in lieu of the rights enjoyed by some former Rajas and Chieftains is","Family and political pension","Malikhanas","Jenmibhogam","Thiruppuvasam","B"
68,"Discretionary grants are sanctioned by","Governor","Officers of Revenue Department","District Collector","All the above","D"
69,"The second instalment of Grant-in aid to small institutions may be paid during","May","June","July","All the above","D"
70,"Under which Article of the Constitution of India Government shall pay the fixed amount contributed to Devaswam fund?","290 A","159","147","148","A"
71,"Which of the following is an interest bearing loan?","Loans to Local Fund","Permanent Advance","Temporary Advance","Advances for medical treatment","A"
72,"Form TR 106 related with","Recovery schedule of interest bearing advance","Recovery schedule of Co-operative recoveries","Temporary advance","Permanent advance","A"
73,"The recovery proposed to deduct Motor conveyance advance is _______ instalments.","60","90","120","144","D"
74,"The Form of application to Motor car advance is","KFC Form 25","KFC Form 25A","KFC Form 24B","KFC Form 24A","B"
75,"The maximum number of instalments of repayments of the motor cycle advance is","100","60","120","144","A"
76,"The maximum instalments to recover the whole amount of principal with interest on account of House building advance shall be","100","144","250","216","D"
77,"The repayment of the House building advance shall commence from the first instalments of pay after the expiry of ________ months from the date of disbursement of the loan.","one month","three months","six months","nine months","D"
78,"Who shall have the power to sanction cycle advance to Government servants?","Government","Heads of Department","Head of Office","None of the above","B"
79,"Which class of employees are eligible for marriage advance?","All Class III employees","Class IV employees","Class III and Class IV employees","Part time contingent employees","B"
80,"Officers eligible for the purchase furniture advance is","All Class I officers","All Grade I officers","Heads of departments","A Junior Indian Administrative service officer on appointment as Assistant Collector","D"
81,"Which of the following is a Civil advance?","Advance for thiru onam festival","Advance on transfer","Mosquito net advance","All the above","D"
82,"The TA advance to the family of an officer who die while in service is limited to ______ of the probable amount of TA advance.","(1)/(2) of the probable amount","(3)/(4) of the probable amount","60% of the probable amount","none of the above","B"
83,"Mosquito Net advance will be sanctioned by","Government","Head of Department","Head of Office","None of the above","C"
84,"The Demand, Collection and Balance statement of loans and advances should forwarded to the Head of Department on or before","on or before 10th of the succeeding month","on or before 15th of the succeeding month","before 30th of the succeeding month","within the last working day of the concerned month","A"
85,"Which of the following is not a Civil Deposit?","Revenue Deposit","Secretary Deposit","Civil court Deposit","None of the above",""
86,"When any fact indicating the loss of public moneys and irregularity has been committed come to the notice of any Government servant he should inform the fact to _______ immediately.","The Police authorities","Head of office","Head of Department","None of the above","B"
87,"If disciplinary proceedings are being continued against an officer under the Service Rules on the date of retirement the admissible pension sanction before the finalisation of the disciplinary proceedings is","Compassionate Allowance","Anticipatory Pension","Superannuation Pension","Provisional Pension","D"
88,"In cases of loss/infrectous expenditure where more than one person is involved in the case of loss of stores etc. shall be fixed in the tune of","share as fixed by the disciplinary authority","share as fixed by the Head of office","share according to their designation","share according to their duties and responsibilities and the extent to which he neglected them","D"
89,"Which one of the following is not a 'Local Fund'?","KSRTC Working Fund","Library Fund","District Fund","Contingency Fund","D"
90,"Cleaning charges of part-time sweepers and scavengers shall be sanctioned by","Government","Head of Department","Controlling officers","None of the above","C"
91,"The major head in the Public Account are assigned the code numbers from","8001 to 8999","6001 to 6010","6011 to 7999","2011 to 3999","A"
92,"Each Sub heads are further devided in to","Sub minor head","Detailed head","Sector head","None of the above","B"
93,"Which department is allowed to charge other departments for treatment of elephants in charge of other departments?","Government","Animal Husbandary Department","Forest Department","Revenue Department","B"
94,"The term 'ordinary revenue' includes ________ of the following.","Revenue derived taxes","Revenue derived from fees","Revenue derived from fines","All the above","D"
95,"Register of Motor cars are maintained in _______ Form.","KFC Form 48","KFC Form 53","KFC Form 53A","KFC Form 53B","A"
96,"The Secretary to Treasury Savings Banks is","Secretary, Finance","Director of Treasuries","Special Secretary, Finance","Deputy Director of Treasuries","B"
97,"As per KFC Vol. I the Treasurer of Charitable Endowment for the State is","Director of Social Justice Department","Examiner of Local Fund","Director of Treasuries","Secretary, Finance","B"
98,"From the following which record/document shall not be destroyed?","Pay bills","Service books","Detailed Budget estimates of an office","Cash book","D"
99,"Who will maintain the record of services of Gazetted officers?","Head of Department","Controlling officers","Accountant General","All the above","C"
100,"The transfer of Government land from one department to another shall be ordered by","Board of Revenue","District Collector","Respective department heads","D:-(1) or (2) above","D"
