Question Number,Question,A,B,C,D,Answer
50,"The form of acknowledgment of permanant advances to be attached to the first salary bill of the relieving officer presented after the transfer of charge is","KFC Form 9 B","KFC Form 10","KFC Form 8","KFC Form 9 A","C"
51,"The Form of register of increment is","KFC Form 9 A","KFC Form 9 B","KFC Form 10","KFC Form 10 A","A"
52,"The Form of detailed estimate is in __________ Form.","KFC Form 24 A","KFC Form 23 A","KFC Form 24","KFC Form 23","B"
53,"The word ‘bougette’ is a __________ word.","English","Indian","French","Chinese","C"
54,"Under which Article of the Constitution of India, a statement of the estimated receipts and expenditure of the state for each financial year has to be laid before the legislature?","Article 147","Article 148","Article 149","None of the above","D"
55,"The Administrative department of secretariate scrutinise the copy of estimate received from the departments and forward their comments to the Finance Department within __________ days.","Within 10 days of receipt of estimates","Within 15 days of receipt of estimates","Within 30 days of receipt of estimates","Within 7 days of receipt of estimates","A"
56,"After the end of general discussion on the budget, who will reply on it?","Governor","Chief Minister","Finance Minister","Speaker","C"
57,"Which is the document requested from the executive to legislature for specified sum of money to finance a particular service during the year?","Annual finance statement","Demand for grant","Appropriation bill","Supplementary demand for grant","B"
58,"From the following which one is the legal authority for the withdrawal of money from the consolidated fund of the state?","Demand for grant","Supplementary demand for grant","Appropriation bill","Appropriation act","D"
59,"The detailed examination of the estimates presented to the legislature to see how best the plans and programmes embodied therein could be executed efficiently and economically is __________ of the following.","General discussion on budget","Preparation of demand for grant","Passing of appropriation bill","Review of the budget","D"
60,"The transaction of Government are according to __________ tier system.","Five-tier","Four-tier","Six-tier","None of the above","A"
61,"The First tier classification of government transaction is","Major head","Minor head","Sub head","Sectors","D"
62,"The head ‘280 Medical’ is a __________ head.","Major","Minor","Sub head","Detailed head","A"
63,"The abolition or change in nomenclature of any existing head will require the approval of","Head of Department","Director of treasuries","Government","Comptroller and Auditor General of India","D"
64,"A document which the Government presents to the legislative by way of asking for a sum above the amount already authorized during the current year for a particular service is","Supplementary demand for grant","Appropriation","Resumption of fund","Reappropriation","A"
65,"Expenditure which is subject to the vote of legislature is","Charged Expenditure","Voted Expenditure","Miscellaneous Expenditure","New service","B"
66,"How many members included in committee on Public Accounts?","Seven members","10 members","Eleven members","15 members","C"
67,"The form of indent for store articles is in __________ Form.","Form 13","Form 13 A","Form 14","Form 15","A"
68,"Register of contingent bill shall be destroyed after __________ years.","After 5 complete years","After 3 years","After 7 years","After 10 years","A"
69,"From the following articles, which is exempted from tender system for purchasing it?","Furniture","Tools and Plants","Purchase of medicines","Uniform for nursing sisters in the hospitals in the state","D"
70,"In which type contract the quantities to be supplied not mentioned?","Schedule contract","Lumpsum contract","Item rate contract","Rate contract","D"
71,"The white washing done in a Govt. building included in __________ type of repair.","Periodical repair","Special repair","Original work","None of the above","A"
72,"The department responsible for the execution of all works which the Government have not specifically allotted to other department is","Public works department","The respective department working in that building which requires the execution of work","Housing Board","The work can be entrusted to any agency","A"
73,"For execution of works to Forest Department which is entrust to PWD and when there is a difference of opinion between the Chief Conservator of forest with Chief Engineer PWD regarding to any such proposal who should obtain the orders of Government?","Chief Engineer PWD","Chief Conservator of Forest","Divisional Forest Officer","Chief Engineer or Chief Conservator of Forest","B"
74,"__________ agreement is adopted to execute a specified work at a specified rate without reference to quantity or time.","Piece-work agreement","Lump-sum contract","Percentage rate contract","Schedule contract","A"
75,"The initial record of labour employed on each day of work executed departmentally is","M.Book","Hand Receipt","Contingent bill","Muster Roll","D"
76,"While executing the work departmentally, labourers may be paid","Once in a month","Once in every two weeks","Weekly","Daily","A"
77,"The Form of M.Book is","KPW 20","KPW 21","KPW 24","KPW 7","B"
78,"The Form of completion report of a work generally is","Form 24","Form 28","Form 9","Form 23","A"
79,"The paddy pensions converted into cash payments w.e.f. __________ at commutation rates.","15.8.1947","26.1.1956","1.2.1955","1.1.1950","C"
80,"The allowances paid in lieu of the rights enjoyed by some former Rajas and Chieftains is called","Political pension","Beriz deductions","Tasdic allowances","Malikhanas","D"
81,"Allowance granted to some religious institutions and also some persons for various reasons such as services to be rendered in lieu of resumption of land by Government is called","Beriz deductions","Tasdic allowances","Thiruppuvaram","(A) and (B) above","D"
82,"Discretionary grants may be sanctioned by","Governor","Revenue Department Officers","(A) and (B) above","Civil Supplies Department","C"
83,"From the following which one is related with discretionary grant?","Scholarship","Stipend","Grant to reading rooms","Contribution to help poor people for obtaining materials for building huts when they are obliged to vacate their houses on account of plague or any other epidemic diseases","D"
84,"Sums due to contractors on closed accounts is __________ deposit.","Revenue deposit","Civil court deposit","PW deposit","Miscellaneous deposit","C"
85,"So as to release a Grant-in-aid, in case where sureties are not necessary, the bond will be executed in Form","Form 55 A","Form 55","Form 21","Form 21 A","A"
86,"So as to sanction annual grant to Libraries there should be a minimum stock of books","1000","750","500","600","A"
87,"The maximum instalment of recovery towards the principal amount on account of motor car advance is","100","144","150","214","B"
88,"The maximum number of instalment of repayment towards scooter advance is","50","75","100","144","C"
89,"The maximum recovery proposed to mosquito net advance is","5","10","20","25","B"
90,"The prescribed form for applying House building advance is","Form 29","Form 29 A","Form 21","Form 39","B"
91,"The maximum instalment allowed towards the recovery of principal and interest amount towards house – building advance is","244","144","200","216","D"
92,"The authority to sanction marriage advance is","Government","Head of Department","District level officers","Drawing and disbursing officer","B"
93,"Earnest money deposit made by intending tenderers in all department are credited to","Security deposit","Retention","Suspense account","Temporary advance","C"
94,"The maximum period allowed to Govt. employees retiring from service to retain their credit in Provident Fund for __________ months with interest from the date they become payable.","One year","Three months","Six months","No time limit prescribed","C"
95,"The periodical verification of all securities should be verified periodically and atleast once a year in __________ month by every departmental authorities.","April","May","September","July","A"
96,"Who will issue the policies on Fidelity Insurance?","Head of Department","LIC of India","State Insurance Officer","Government","C"
97,"The validity of Fidelity Insurance Policies are __________ period.","Two years","Sixth months","Five years","12 months","D"
98,"When any fact indicating the defalcation of loss of public money to the notice of any Government servant, he should inform the same to","Head of Office","Head of Department","Police authorities","None of the above","A"
99,"When a Government servant is seen responsible for losses to Government and the employee concerned is due to retire, the liability may be deducted from","DCRG","GPF closure amount","Terminal surrender of earned leave","Monthly deduction from pension","A"
100,"The Treasurer of Charitable Endowment for the state is","Treasury Director","Secretary Finance","Examiner Local Fund Audit","Accountant General","C"
