Question Number,Question,A,B,C,D,Answer
41,"Who shall have authority to audit and report on the accounts of stores and stock kept in any office or department of the union or of a state?","Head of Department","Officer incharge of store","Every Divisional Officers","Comptroller and Auditor General of India","D"
42,"No one above the rank of ____________ is entitled to travel under railway warrants.","Sub Inspector","Circle Inspector","Deputy Superintendent","District Police Chief","B"
43,"Who may issue the sanction for the purchase of chemicals and apparatus required for the public health laboratory?","Director of Health Services","Deputy Director of Health Services","District Medical Officer","Director, Public Health Laboratory","B"
44,"The purchase of elephants requires the sanction of _______________ if it is met from contingency fund.","Chief Conservator of Forest","Divisional Forest Officer","Head of department of the respective department","Government","D"
45,"Who may authorise payment of fees to pleaders engaged to defend accused under the Criminal Rules of practice?","High Court","Sessions Judges","District Judges","High Court and Sessions Judges","D"
46,"The pay of subordinate Government Servants employed in out-of-the way places may be remitted by money order at the expense of :","Government","The employer","(A) and (B) above","None of the above","A"
47,"Statement of fines imposed and refunded in the court of the Session Judges is in ____________ form.","KFC Form 2","KFC Form 1","KFC Form 1B","KFC Form 3","A"
48,"The form prescribed for Register of objection slip from Accountant General is :","KFC Form 5","KFC Form 4B","KFC Form 4A","KFC Form 4","D"
49,"Register of special advance is in form :","KFC Form 5","KFC Form 7","KFC Form 8A","KFC Form 9","A"
50,"Acknowledgement of permanent advance, stock of books and furniture etc are in form :","KFC Form 8","KFC Form 8A","KFC Form 9","KFC Form 9A","B"
51,"The register of increment will be in form :","Form 9","Form 9A","Form 1A","Form 5","B"
52,"Washing allowances paid to class IV employees shall be classified under :","Contingent charges","Office expense","Salaries","Temporary advance","C"
53,"The word ‘Budget’ is derived from the French word :","Brunette","Ballet","Merci","Bougette","D"
54,"Who will present the Annual Finance Statement to the Legislature every year?","Governor","Chief Minister","Finance Minister","Revenue Minister","C"
55,"The departmental officers submitted budget documents direct to :","Administrative Department","Finance Department","Finance Minister","P&ARD","B"
56,"The time prescribed for presenting the budget in the legislature is :","1st January","1st day of February","End of February or beginning of March","Between 1st of January and 15th of February","C"
57,"A request from the executive to the legislature for a specified sum of money to finance a particular service during the year is called :","Demand for Grant","Appropriation bill","Budget document","Supplementary demand for grant","A"
58,"Which stage of the budget marks the conclusion of second stage of the budgetary cycle?","Preparation of the budget","Passing of the budget","Execution of the budget","Review of the budget","B"
59,"Which documents specify the maximum amount that may be spent during the year on each service?","Budget document","Demand for grant","Appropriation bill","Supplementary demand for grant","C"
60,"Government accounts are kept in ___________ parts.","Two","Three","Four","Five","B"
61,"The first tier classification of transaction is :","Sector","Major head","Minor head","Sub major head","A"
62,"The third tier classification in Government account is :","Major head","Minor head","Sub head","Detailed head","B"
63,"The introduction of any new major head or minor head will require the approval of :","Finance department","Head of department","Director of Treasuries","Comptroller and Auditor General of India","D"
64,"A document which the Government present to the legislature by way of asking for a sum over and above the sum already granted during the current year for a particular service is called :","Excess grant","Supplementary demand for grant","Additional fund","Sinking fund","B"
65,"Expenditure which is subject to the vote of legislative assembly is termed as :","Charged expenditure","Voted expenditure","Vote on account","New service","B"
66,"The first attempt at performance budgeting was made in ____________ year.","1970-71","1969-70","1971-72","1975-76","A"
67,"The indent prepared for the purchase of articles should be in Form No. :","Form No. 13","Form No. 12","Form No. 15","Form No. 16","A"
68,"All purchase proposals which do not fall within the powers of head of department will be considered by :","Government","Departmental purchase committee","Director General of supplies and disposals","None of the above","B"
69,"From the following which one is exempted from tender systems?","Purchase of office furniture","Purchase of tools and plants","Purchase of machineries","Purchase of uniform for all nursing sisters in the hospitals in the state","D"
70,"A contract entered for the supply of an approximate quantity of stores at a rate specified price during a certain period is called ____________ contract.","A rate contract","Running contract","Quotation system","Limited tender","B"
71,"A work related with reconstruction of entire-structure are included in ____________ work.","Original work","Repair work","Ordinary repair","Special repair","A"
72,"Which department is responsible for the execution of all works which the Government have not specially allotted to other department?","Irrigation Department","Public Works Department","Housing Board","Kerala State Construction Corporation","B"
73,"If the Chief Conservator of Forest wishes to entrust to any of their work to Public Works Department, he should address _______ in the matter.","Asst. Exe. Engineer","Executive Engineer","Chief Engineer","Superintending Engineer","C"
74,"Where no contractors are available or where for other reasons ___________ system of work is introduced.","Lump sum contract","Departmental execution","Piece-work agreement","Percentage rate contract","B"
75,"The initial record of labour employed each day of work when work is executed departmentally is :","M. Book","Field Book","Bin Card","Muster Roll","D"
76,"While executing a work departmentally all wages not claimed within ___________ period should, as a rule be forfeited.","One month","Two month","Three month","Six month","C"
77,"The original record of actual measurement of work done or count is __________, except the work done through departmental execution.","Muster Roll","M. Book","Cash Book","Contractors ledger","B"
78,"The completion report of a work is in __________ form.","Form 21","Form 24","Form 25","None of the above","B"
79,"As per KFC Vol I, a sum amounting to Rs. ________ is payable annually to her highness the Senior-Maharani of Travancore from the date of termination of the Regency.","75,000","1,00,000","2,00,000","2,50,000","A"
80,"The allowances paid in lieu of the rights enjoyed by some former Rajas and Chieftains are known as","Malikhana","Family pension","Beris deductions","Karathilchilavu","A"
81,"Which one of the following not related with the allowances paid to some jenmis and other persons on the state?","Jenmibhogam","Karathilchilavu","Arthapalisa","Tasdic allowances","D"
82,"Discretionary grants may be sanctioned by","Governor","Officers of the Revenue department","Governor/Officers of Revenue Department","None of the above","C"
83,"The scheme ‘Famine Relief’ related with","Fire loss relief","Flood relief","Sudden calamity relief","All the above","D"
84,"The time limit prescribed to utilize the Grant-in-aid is","one year from the date of sanction","six months","nine months","no limit","A"
85,"Before the grant is released to a public body or institution, the grantee should execute a bond in _____________ form.","Form 55 without sureties","Form 55 with sureties","Form 50","Form 51","B"
86,"From the following advances which are interest free advance :","House building advance","Marriage advance","Motor conveyance advance","Permanent advance","D"
87,"Application for advance for the purchase of motor conveyance is in ________ form.","Form 26","Form 25A","Form 26A","Form 10","B"
88,"The maximum number of instalment of repayment of motor cycle/scooter advance is","60","100","116","144","B"
89,"From the following who are ineligible for getting house building advance?","<5 years service","5–6 years","5–7 years","None","A"
90,"The application for additional advance should be submitted within ______ period.","After 2 years","After 5 years","Within 1 year","None","C"
91,"The recovery of additional advance on HBA will commence immediately on expiry of:","6 months","1 year","After 1 year","After full recovery","A"
92,"The application for cycle advance in","Form 26","Form 29","Form 40","Form 24","C"
93,"The due date of marriage advance in second time is :","After first advance completion","During recovery","After 3 years","After 5 years","A"
94,"Which among the following is not a civil advance?","Thiruvonam advance","Festival advance","Transfer advance","GPF temporary advance","D"
95,"Transfer TA advance is limit to __________ percentage of the probable amount.","50%","60%","90%","75%","D"
96,"All deposit unclaimed for more than _____________ year should be credited to government account.","3 years","5 years","2 years","None","A"
97,"Who will issue policies on fidelity insurance?","District Insurance Officers","State Insurance Officer","Secretary Finance","None","B"
98,"The maximum recovery period of House Building advance with principal and interest is","144","100","200","216","D"
99,"When any fact indicating defalcation or loss of public money comes to notice, it should be reported to","Section head","Head of office","Police","All","B"
100,"The secretary to savings bank is","Finance Secretary","Treasury Director","Joint Director of Treasury","District Treasury Officers","B"
