Question Number,Question,A,B,C,D,Answer
31,"A statement containing which of the following details should be furnished to the Accountant-General along with the sanction for deputation of State Government servant for service under the Government of India or any other State Government.","Transit pay sanctioned","Actual pay sanctioned in the deputation post","Date and amount of next increment","all of the above","D"
32,"A primary record of all money transactions affecting the revenues of the Federation or of any Province as they occur","Primary accounts","Initial accounts","Subsidiary accounts","none of the above","B"
33,"Irregular or unusual payments should be recorded in the accounts with the general reference to the ordinary rules of classification according to the nature of the expenditure, for example, an overpayment of pay shall be debited to the head","Pay","Salaries","Wages","none of the above","A"
34,"A loss of cash which is written off under the orders off a competent authority should be debited as a ________ of the department concerned.","establishment charge","contingent charge","miscellaneous charge","none of the above","B"
35,"If money due to Government has actually reached a Government servant and is then embezzled, stolen or lost even though it may not have reached the treasury and thus have passed into the Consolidated Fund or the Public Account, it should be brought as a receipt into the","Consolidated Fund","the Public Account","either (1) or (2)","none of the above","C"
36,"List of Officers responsible to forward Consolidated Stores and Stock Accounts to the Accountant General.","Director of Agriculture","Director of Animal Husbandry","Director of Ports","All of the above","D"
37,"An officer issuing railway warrant should invariably enter the particulars","Name and/or number of Police Officer and nature of duty","Reasons for travelling by mail train","both (1) and (2)","None of the above","C"
38,"When a journey has to be made by boat or steamer the prisoner shall be provided with a ________ to halting place nearest to his destination at the lowest rate.","passage money","imprest money","pocket money","pension money","A"
39,"Each youthful offender on his release from the Borstal School or Balamandir, will be granted allowance as per the rule","An inmate whose home or the place where he/she secured employment is on or near a Railway Station shall, on release be supplied with a railway ticket of the lowest class or train fare to the station nearest to the place of destination","When the whole or any part of the journey has to be made in conveyance other than by rail she/he shall be paid passage money for travel by the lowest class in such conveyance to the station nearest to the place of destination","both (1) and (2) above","none of the above","C"
40,"Repairs to and servicing of motor cycles or scooters supplied to an office involving more than Rs.50 at a time may be made only with previous sanction of the ________","Head of the Department","Head of Office","Finance Secretary","None of the above","A"
41,"Original works include which one of the following work?","all new construction","reconstruction of entire structures","previously abandoned buildings required to make them usable","all of the above","D"
42,"In cases in which jail labour is not employed on a work for the reason that the jail Department is not able to supply it, a written statement from the ________ to that effect should be obtained and recorded by the Public Works Department Officers.","Jail Superintendent","Jailor","Jail Warden","DGP Prisons","A"
43,"Items such as white-washing and petty repairs to walls, inside and outside, repairs to floors including those of verandahs, repairs to ceiling, repairs to doors and windows, painting or wood-oiling or varnishing them inside as well as outside come under _________","maintenance repairs","internal repairs","external repairs","none of the above","B"
44,"The Heads of Departments other than the Public Works Department and the Superintending Engineers of the Public Works Department will forward extracts from the Register of Lands and buildings of the particulars relating to residential buildings under their control to the _________ direct.","Auditor General","Accountant General","Chief Secretary","none of the above","B"
45,"If a Head of a Department wishes to arrange for the execution of an electrical work himself, he should apply to the Government for the allotment of the work to his Department. If the Government allot the work to his department he should get the detailed plans and estimates prepared by the ________.","Licenced Electrical Contractor","Electrical Wing of the P.W.D","Licensed Electrical Engineer","none of the above","B"
46,"The Administrative Departments scrutinise the Estimates, and forward their comments to the Finance Department within ________ of receipts of the Estimates.","ten days","five days","fifteen days","thirty days","A"
47,"The _________ is the legal authority for the withdrawl of money from the consolidated Fund of the State, and it specifies the maximum amount that may be spent on each service during the financial year.","Appropriation Bill","Appropriation Act","Demand for grants","None of the above","B"
48,"Review of the budget also involves detailed examination of the Estimates presented to the Legislature, to see how best the plans and programmes embodied therein could be executed efficiently and economically. This work is entrusted to another Legislature Committee, specially constituted for the purpose the __________","Local Fund Accounts Committee","Estimates Committee","Expenditure Committee","None of the above","B"
49,"At the time of transition from one Five Year Plan to another, it will be necessary to classify the plan expenditure into category.","expenditure on maintenance of completed schemes","expenditure on schemes in progress, which continue to be of a developmental nature","Both (1) and (2)","none of the above","C"
50,"Provision for losses should not, ordinarily, be made in the budget. However, if, in any case, some loss is expected and provision has to be made, it should be with the special sanction of the _________.","Finance Department","Administrative Department","Accountant General","Legislative Committee","A"
51,"It shall be the duty of the _________ to prepare annually, in such form as he, with the concurrence of the Governor-General, may determine and to submit to the Governor-General a General Financial Statement incorporating a summary of the accounts of the Dominion and of all the provinces for the last preceeding year.","Auditor-General","Finance Secretary","Finance Minister","None of the above","A"
52,"The Auditor-General shall be responsible for the keeping of the accounts of the Dominion and of each province, other than accounts of the Dominion relating to Defence or Railways and accounts relating to transactions in the United Kingdom.","incorrect","correct","As per the discretion of the Governor","None of the above","B"
53,"By Virtue of provisions of ________ of the constitution the Comptroller and Auditor-General is empowered, with the approval of the President to prescribe the form of initial accounts from which the accounts rendered to the Indian Audit and Accounts Department are compiled or on which those accounts are based.","Article 153","Article 152","Article 151","Article 150","D"
54,"The forms of accounts including appropriation accounts, relating to Defence, Railways and any other Department or Service whose accounts are not kept by the Comptroller and Auditor-General under paragraph ________ of the Audit and Accounts Order, 1936 may be determined by the departmental accounting authorities.","11(2)","11(3)","11(4)","11(5)","A"
55,"The instructions relating to the preparation and submission of ________ accounts by Accountants-General are included in the Audit Manual issued by authority of the Comptroller and Auditor-General.","Misappropriation Accounts","Appropriation Accounts","Miscellaneous Accounts","None of the above","B"
56,"The cost of the transport of tents in whole or in part is debited to the Government only when they are carried on tour beyond a distance of _________","32 kilometers","40 kilometers","8 kilometers","50 kilometers","C"
57,"The luggage charges claimed for the conveyance of Government articles by motor buses and boats open to the public on hire, during tour, should be limited to _________","Family passenger fare","single passenger fare","double passenger fare","None of the above","B"
58,"The charge for washing the uniforms supplied to last grade servants may be met from __________.","Office expense","Uniform allowance","Miscellaneous expense","None of the above","A"
59,"Bills drawn by the Inspector of Industrial Schools are countersigned by __________.","Deputy Director of Industries and Commerce","Director of Industries and Commerce","Assistant Director of Industries and Commerce","None of the above","B"
60,"Bills for the Purchase and distribution of seeds, manure, etc., cotton, green manure, ploughs and implements, other miscellaneous, seeds and manure are countersigned by __________.","Director of Agriculture in charge of the Division","Joint Director of Agriculture Department","Deputy Director of Agriculture in charge of the Division","None of the above","C"
61,"_________ attached to hostels come under the class of residences for Government Officials and should be shown in the monthly return whether any rent is recovered or not.","NGO Quarters","Wardens quarters","Railway Quarters","None of the above","B"
62,"Expenditure on account of reparation of damage caused by extraordinary, calamities, such as flood, fire earthquake, cyclone, etc., should be charged to _________ as may be determined by Government according to the circumstances of each case.","Capital","Revenue","Divided between capital and revenue","All of the above","D"
63,"The transactions of local funds (as defined in Article 3) are not included as such in the Government account, except in so far as their cash balances are deposited with the Government under the rules and accounted for under the deposit head ""Deposits of Local Funds"" within the ______","Contingency Fund","Consolidated Fund","Public Account","None of the above","C"
64,"The detailed procedure to be followed in connection with borrowing by local bodies from the Government is laid down in the _________","Kerala Local Authorities Loans Rules, 1965","Kerala Local Fund Loans Rules, 1965","either (1) or (2)","None of the above","A"
65,"In cases, of defalcation/embezzlement of Public money or properties in which Government servants or public servants are involved and where the amount or the value of the properties involved is Rs.5,000 (Rupees five thousand only) or more belonging to State Government (including moneys or properties of co-operative societies) they should be reported immediately to","Vigilance Division","Ordinary Police","the Local X-Branch Vigilance Division","None of the above","C"
66,"Annual Financial Statement or 'Budget' means the Statement of the estimated receipts and expenditure of the State for each financial year, to be laid before the Legislature of the State, under ________ of the Constitution of India.","Article 202 (1)","Article 302 (1)","Article 203 (1)","None of the above","A"
67,"The departmental estimates should take cognizance only of what are called 'standing sanctions', i.e. of revenue based on and of expenditure incurred by virtue of existing laws, rules and orders. These are called _________.","Part I Estimates","Part II Estimates","Part III Estimates","none of the above","A"
68,"In respect of appropriation against which bills are drawn both by officials and non-officials, the ________ will control the expenditure by reducing the appropriation at his disposal by the amount of each bill countersigned by him.","Head of Office","Head of the Department","Finance Secretary","None of the above","B"
69,"Reconciliation of Departmental figures with the books of the treasury and the Accountant General should not be confined to expenditure, but should embrace revenue as well. This would prevent defalcation through ________","excess remittance","short-remittance","excess expenditure","none of the above","B"
70,"Every Controlling Officer should, maintain a liability Register in ________ , just as any Disbursing Officer.","Form KBM 11","Form KBM 12","Form KBM 13","Form KBM 14","C"
71,"Fees and duties levied by law should be paid by Government Departments in the same way as by private individuals.","correct","incorrect","as per the discretion of finance department","none of the above","A"
72,"A regularly organized store branch of a department should ordinarily charge any other department for supplies made, but petty and casual supplies of stores may, if the supplying department consents, be made without payment.","correct","incorrect","as per the discretion of purchasing department","none of the above","A"
73,"The Defence Services also shall not be required to pay for the use of the Government Civil Aerodromes and for other incidental services rendered by the Civil Aviation Department of Indian Air Force Planes, not shall the Civil Aviation Department be charged, as a reciprocal arrangement, for the use of the Aerodromes of the Indian Air Force by the Civil Aircrafts.","correct","incorrect","as per the discretion of civil aviation department","None of the above","A"
74,"When a special officer is employed for acquisition of land for any department, the expenditure on pay, allowances, etc., of the special officer and his establishment and any expenditure on contingencies is not debitable to that department as part of the cost of land.","correct","incorrect","as per the discretion of the concerned department","none of the above","B"
75,"The Fire Forces Department may charge other departments at the rate of ________ per fire extinguisher for pressure testing.","Rs.5","Rs.10","Rs.3","None of the above","C"
76,"Belts may be renewed once in _________ in the case of daffadars.","One year","Two years","Three years","Four years","C"
77,"The expenditure on account of burial charges of unclaimed bodies of patients dying in hospitals and which are subject to post-mortem examination for pathological and teaching purposes shall be met by the","Health Services Department","Government","Corporation","none of the above","A"
78,"In the case of destitute person dying within the limits of a local body, the expenditure on this account is debitable to the funds of the local body concerned, whenever the property belonging to such a destitute is disposed of, the officer competent to dispose of the property may pay the local body concerned charges connected with the burial or cremation of the person concerned.","incorrect","correct","as per the discretion of the local body","none of the above","B"
79,"The _________ may sanction the purchase of chemicals and apparatus required for the Public Health Laboratory.","Director of Health Services","Deputy Director of Health Services","Assistant Director of Health Services","none of the above","B"
80,"The ________ may sanction the expenditure for the removal of patients suffering from communicable diseases to the nearest isolation hospitals.","Principal, Medical College","Superintendent, Medical College","Lay Secretary, Medical College","none of the above","A"
81,"Payment should ordinarily be made immediately after the stores are taken to stock. In no case should the payment be delayed for more than _________ from the date of receipt of stores.","Fifteen days","thirty days","forty five days","sixty days","B"
82,"Payment to firms abroad is arranged by the _________ through the State Bank of India or any other bank on production of invoices, etc., supported by the certificate of the inspection agents.","Finance Department","Reserve Bank","Accountant General","none of the above","C"
83,"Separate stock accounts should be maintained for","Raw materials and expendible stores used in manufacturing departments, etc.","Office furniture including all office stores except books, forms and stationery","Books, Forms and stationery","all of the above","D"
84,"To ensure that no Government servant should hold stores in stock in excess of the quantity likely to be required for a reasonable period, a responsible officer of the Department should inspect all perishable stores once in each _________.","quarter-year","half-year","year","none of the above","B"
85,"A register in ________ should be maintained by the officer authorised to conduct the auction and all the columns in the register should be filed up at each stage of the auction.","Form No.18","Form No.19","Form No.20","Form No.21","C"
86,"Losses sustained by the Central Government in State treasuries through the negligence or culpability of the staff paid for by a Government in any State and vice versa should be borne as they occur.","by the Central Government if the loss occurs, in connection with Central transactions","by the State Government, if it is on account of State Transactions","both (1) and (2)","None of the above","C"
87,"When a Government servant is to be transferred to foreign service under a private employer, the Government may require the employer to deposit before the transfer is sanctioned, security equivalent to ________ pay of the Government servant in foreign service.","three months","six months","one month","none of the above","A"
88,"When a work is executed on the piece-work contract system, security may also be taken in the form of _________ made from the contractor's bills.","percentage deductions","standard deductions","statutory deductions","none of the above","A"
89,"The _______ contains the rules regarding the preparation, examination and consolidation of the budget estimates, their passage through the Legislature, the distribution of appropriations among controlling and disbursing officers, the responsibility of these officers for watching the progress of expenditure and ensuring that it does not exceed the appropriations, the authorities competent to sanction re-appropriation and the procedure for obtaining supplementary appropriations.","Kerala Financial Code Vol I","Budget Manual","Kerala Account Code Vol I","none of the above","B"
90,"Copies of sanctions/orders relating to grant of advances to non-gazetted officers (except those relating to House Building Advance and Advance for the purchase of a Motor Car/Motor Cycle/Scooter) need not be forwarded to the _________","Finance Department","Accountant General","Treasury Officer","none of the above","B"
91,"The security deposit should be released or returned to the contractor within a maximum period of ________ of the expiration of the contract.","three months","six months","nine months","twelve months","A"
92,"In the matter of purchase of stores by the State Government Departments, Small Scale Industrial Units sponsored by the National Small Industries Corporation Limited, New Delhi and in respect of which competency certificates are issued by the Corporation will be exempted from payment of ________.","earnest money deposits","security deposits","both (1) and (2)","none of the above","C"
93,"In case the earnest money deposited by the successful contractor if any, is less than the security deposit demanded the amount of earnest money may be treated as part of security deposit and the balance amount may be called for from the firm.","incorrect","correct","as per the discretion of the tender accepting authority","none of the above","B"
94,"It is important that for all running contracts, tenders with earnest money should not be invited irrespective of the amount involved.","incorrect","correct","as per the discretion of the tender inviting authority","none of the above","A"
95,"The contract rule that is applicable only to patents and specialities to which tender system cannot be applied with advantage is ________.","rate contract","running contract","negotiated contract","all of the above","C"
96,"Heads of Departments and Officers should see that the furniture required for the offices and the institutions under their control is made of superior wood only, such as teak, jackwood and blackwood.","correct","incorrect","as per the discretion of law officer","none of the above","A"
97,"No earnest money or security deposit is necessary in respect of supplies from","Government Institutions","State Public Sector Industries","State Government Departmental units","all of the above","D"
98,"A register in ________ should be maintained to show the details of the tenders invited; the names of tenderers, the date of receipt, date of opening, etc., of tenders and quotations","Form No.15","Form No.16","Form No.17","Form No.18","A"
99,"Tenders shall be excluded","When the tenders are not in the prescribed form (where forms are prescribed)","When the tender is not signed by the tenderer","When the tender is from a black-listed firm or a banned firm","all of the above","D"
100,"If any firm is to be ignored on grounds of unsatisfactory, performance in respect of a previous contract, the decision should be taken by","Public Works Department","Government","either (1) or (2)","none of the above","B"
