Question Number,Question,A,B,C,D,Answer
15,"The abandonment of claims of revenue (arising from taxation Laws, services rendered, Land revenue etc) without exhausting all avenues of recovery is known as :","Remission of Revenue","Write off of Revenue","Refund of Revenue","Waiver of Revenue","A"
16,"On receipt of intimation of death of a Civil pensioner, the disbursing officer should report immediately to :","Treasury Officer","Government","Head of the Department","Accountant General","D"
17,"What is the basis for the preparation of Annual Indents?","Taking into account the consumption of the previous year","On the basis of the average consumption of the past 3 years","On the basis of the average usage of item of the previous 5 years","None of these","B"
18,"Following officers except the one are authorized to incur secret service expenditure. Identify the one who is not authorized?","Commissioner of Excise","Chief Conservator of Forest","Director of Higher Secondary Education","Commissioner of Land Revenue","D"
19,"Acknowledgement of Permanent Advance, Stock of Books, Furniture etc are to be sent to the Accountant General on the :","15th of April","30th April","31st May","30th June","A"
20,"Who draws the bills for advances for replacing missing boundary marks?","Tahsildar","District Survey Superintendent","Director of Survey","District Collector","C"
21,"Which marks the conclusion of the third stage of the budgetary cycle?","Passing of the Budget","Preparation of the Budget","Review of the Budget","Execution of the Budget","D"
22,"Which Legislature committee to satisfy itself that the moneys shown in the accounts as having been disbursed were legally available for and applicable to, the services of purpose to which they have been applied or charged to?","Estimate Committee","Subject Committee","Public Accounts Committee","Public undertaking committee","C"
23,"The sole legal authority for the incurring of expenditure from the consolidated fund is :","Appropriation Bill","Appropriation Act","Vote on Account","Vote of Credit","B"
24,"In which budget document the statement showing the statement of outstanding guarantee given by the Government is included?","Explanatory Memorandum","Performance Budget","Evaluation Report","Annual Financial Statement","A"
25,"From among the following whose travelling allowance bill requires counter signature :","Deputy Speaker","Vice Chairman, State Planning Board","District Collector","Deputy Secretary, Finance Department","D"
26,"Who is the custodian of the electrical Installations of a Government building or part thereof ?","PWD Electrical Division","Buildings Division","Head of office occupying the building","Government","C"
27,"How many methods can be followed for execution of works?","Five","Four","Three","Two","A"
28,"Identify the item which is not included Local fund :","Library Fund","Sinking Fund","Market Committee Fund","District Fund","B"
29,"One of the items listed below is not to be included in the Public Account :","Public Debt","Small Savings","Deposits and Advances","Cash Balance","A"
30,"What is the primary function of the committee on Public Accounts?","To examine whether the money is well laid out within the limits of the policy implied in the estimates","To suggest alternative policies in order to bring out efficiency and economy in administration","To suggest the form in which the estimates shall be presented to the Assembly","To scrutinise the Report of the C & AG, Appropriation Accounts and Finance Accounts","D"
31,"Under which category of deposit, sale proceeds of unclaimed perishable property is to be classified :","Civil Court Deposits","Personal Deposits","Criminal Court Deposits","Revenue Deposits","C"
32,"A contingent bill should not ordinarily be enclosed for payment to a private party in :","February after the 15th","March after the 15th","January after the 15th","March after the 20th","B"
33,"Who is the authority competent to sanction joint applications of employees serving in different departments?","Joint Secretary to Govt. Public Department","Government in Finance Department","Secretary to Government in General Administration Department","Head of the Department Concerned","B"
34,"How much amount is payable annually to Chengamanad Devaswom by the Government in accordance with the terms of the Udampadys entered into by the Government and the said Devaswom?","Rs. 491.23","Rs. 491.22","Rs. 591.22","Rs. 982.45","D"
35,"Mention the authority subordinate to the Government has the power to sanction any advance for the purchase of Motor conveyances :","No authority subordinate to Government has the power to sanction","Yes, Head of Department","Yes, Director of Treasures","Yes, Head of Office","A"
36,"Who is the Treasurer of Charitable Endowments for the State?","Secretary to Government Finance Department","Directors of Treasuries","The Examiner of Local Fund Accounts","Inspector General of Registration","C"
37,"What is initial record of labour employed each day on a work?","Measurements book","Work Abstract","Muster Roll","Work Diary","C"
38,"Specimen signature of a Gazetted Officer is to be forwarded to Accountant General in case :","To draw leave salary from the Treasury","While sending the TA bills for pre check","Authorisation for payslip to draw first salary","To draw leave salary in another State","D"
39,"Grant in aid to State Co-operative Union is sanctioned by :","Registrar of Co-operative Societies","Examiner of Local Fund Accounts","Government in the Finance Department","Director of Co-operative Audit","A"
40,"A Government servant expired at 8.30 am on 1st December 2022, In the instant case the legal heirs can claim the salary upto :","30-11-2022","01-12-2022","Pay upto 8.30 am on 01-12-2022","Pay and allowances upto 12 Noon on 01-12-2022","B"
41,"When does an appropriation lapse?","It will not lapse","Lapse at the close of financial year","Lapse at the end of calendar year","Lapse after the expiry of 9 months","B"
42,"The Certificate of Reconcilation should be sent by the Chief Controlling Officer to Government in the Finance Department on :","On 30th June every year","On 30th September every year","30th September and 31st March every year","31st December and 30th June every year","C"
43,"When does an application for Refund of revenue to be sanctioned on exgratia to be rejected?","After 2 years from the date of credit to Government Account","After 6 months from the date of credit to Government Account","After 3 months from the date of credit to Government Account","If it is to received after one year from the date of credit of revenue to Government Account","D"
44,"The wages not paid for labourers covered by muster roll are as a rule to be forfeited when not claimed :","Within 3 months","Within 2 months","Within 45 days","Within a month","A"
45,"A price adjustment schedule is specified in order to regulate the amount to be added to or deducted from the fixed sum on account of additions and alterations not covered by the contract. The above method of execution of work comes under :","By Lump sum contract","By Piece work agreement","By schedule contract","By percentage rate contract","A"
46,"What is the maximum number of instalments of repayment of advances given to Government Servants for the purchase of Motor cycle / Scooter?","144","108","100","84","C"
47,"What is a supernumerary post?","It is not a shadow post","It is always a permanent post","It is purely a temporary post","Provisional post","B"
48,"A temporary advance is drawn for the purpose of meeting contingent expenditure of a specified kind on 05-05-2022. What is the last date by which final bill should be presented?","04-06-2022","04-07-2022","05-07-2022","04-08-2022","D"
49,"The expenditure which is not contemplated in the Budget for the year and for which a supplementary statement of expenditure should be presented to the legislature is called :","Revised Budget","Supplementary Demand for Grants","New Service","Resumption of funds","C"
50,"Whose approval is required for the introduction of any new major head or minor head and the abolition or change in the nomenclature of any existing head?","Legislature","Government in Finance Department","Finance Minister","Comptroller Auditor General of India","D"
51,"Identify the schemes which are not treated as Part II Schemes in the preparation of budget :","Unserviceable machinery and deceased live stock","Purchase of new machinery","Purchase of Live stock","Purchase of machinery on a large scale","A"
52,"The work of review of budget is subdivided into :","4","3","5","6","B"
53,"Control over appropriation is one of the special responsibility of the Finance Department. Identify the item which is not part of control over appropriation?","Transfer of appropriation from one unit to another","Withdrawal of appropriation found to be in excess of requirements","Taking action wherever necessary based on the warning slips issued by the Accountant General","Obtaining additional appropriation","C"
54,"How much percentage to be added to the cost price of Government Publications in order to cover the commission on sale, storage and distribution?","50%","40%","25%","60%","A"
55,"Who is authorized to incur annual expenditure on cost of sanitation on account of special arrangements during fairs festivals and assemblages?","District Collector","Director Health Services","Director of Panchayath","Director of Industries","B"
56,"Who is competent to sanction the purchase of animals viz dogs, monkeys, rabbits, guinea pigs, frogs etc required for the laboratories?","Director Animal Husbandary","Director of Health Services","Public Health Authorities","Principal Medical College","D"
57,"The washing charges of uniforms supplied to last grade servants may be met from :","Office expenses","Other charges","Wages","Salaries","A"
58,"What is the periodicity of inspection of stores other than perishable articles in Government departments?","Every three months","Every 4 months","Every 6 months","Every year","D"
59,"What is the amount of contribution payable to the Devaswom Fund every year as per Art 290 A of the Constitution of India?","93 Lakhs","One Crore Five Lakhs","46.5 Lakhs","45.5 Lakhs","C"
60,"The details of monthly personal claims of all gazetted officers should be forwarded to :","Accountant General","Controlling Officer","Head of Department","Treasury Concerned","B"
61,"What is the period of limitation in respect of the arrear claims for supplies made or rendered to Government?","One year","Two years","Three years","Five years","C"
62,"The fidelity insurance of governments is a :","Personal Deposit","Security Deposit","Revenue Deposit","Treasury Savings Deposit","B"
63,"Who is the authority to approve the rate of advertisement charges as per Rules?","Director of Printing and Stationary","Director of Public Instruction","Government in the Store Purchase Department","Director of Public Relations","D"
64,"A deposit credited to Government as lapsed should be repaid only with the previous sanction of the :","Accountant General","Government in the Finance Department","Director of Treasuries","Administrative Department in Government","A"
65,"With effect from which date the letter credit system was introduced in the State?","1st April 1978","15th July 1980","1st January 1974","1st April 1974","D"
66,"Which estimating officer has to prepare and submit the estimate in respect of Reserve Funds bearing interest and not learning interest?","Accountant General","Director of Treasuries","Finance Secretary","Chief Examiner Local Fund","C"
67,"While selecting or accepting the tenders for the supply of stores, the price preference that may be allowed for the products of Private Industries within the State over the products made outside the State in respect of other Industries.","10%","12%","15%","20%","A"
68,"Running contract will be settled by :","Stores Purchases Department","Head of Department and Departmental Purchase committee","Finance Department","Accountant General","B"
69,"How many House building advances that will be given to a Government Servant (s) during the entire period of his / her/ their service?","No limit fixed","One","Not more than two","Not more than three","C"
70,"The order issued by a Treasury Officer on a Sub Treasury within the district for a payment on the Government account or for any authorized purpose of a specified amount to a specified person :","Book adjustment or book Transfer","Cash Order","Pay order","Letter of Credit","B"
71,"It denote the existing laws rules or orders taken cognizance of in the estimation of revenue/expenditure? What does it mean?","Standing sanctions","Book of Financial Principles","Standard of Financial Property","Cash Orders","A"
72,"A grant made by the Legislative Assembly to regularize the expenditure incurred in any previous financial year over and above the amounts granted for a service during that year :","Vote of Credit","Supplementary grant","New Service","Excess Grant","D"
73,"In which year the first performance budget was prepared in the State?","1968-69","1969-70","1970-71","1974","C"
74,"The act of formal acceptance by the Finance Department of funds found to be in excess of requirements, out of the sums surrendered by the Controlling / Disbursing Officer :","Reappropriation","Resumption","Supplementary Demand","Additional Authorisation","B"
75,"Which expenditure should be accompanied by a self explanatory report containing all relevant details of the scheme to enable Government to verify the correctness of the classification of expenditure?","Recurring Expenditure","Non Recurring Expenditure","Contingent Expenditure","Committed (Non plan)","D"
76,"What type of provision should be proposed for meeting expenditure that may be necessary to satisfy court decrees?","Charged Expenditure","Voted Expenditure","Contingent Expenditure","Recurring Expenditure","A"
77,"The Authorities who are authorized to remit or write off loans and advances and the extent the powers delegated to them are contained in the :","Hand book of Delegation of Powers","Book of Financial Powers","Standing Sanctions","Book of Forms","B"
78,"When a retired Government Servant whose pension has already been sanctioned is held to have caused a loss to the Government by fraud or negligence while in service and it appears likely that the amount could be recovered by bringing a suit against him. What is to be done in the matter?","Being a pensioner, report at once to the Treasury Officer","Report the matter to the Accountant General","Head of the Department to taken action against him","Report to Government for orders","D"
79,"All Government servants should treat the rate and the amount of cost entered against each item in an estimate and the abstract showing the total estimated cost of a work or part of a work as strictly confidential except one. Identify it :","Departmentally by the employment of daily labour","Piece work agreement","Contract relating to extraction in timber in the Forest Department","Mining works for which it is not possible to assess the exact cost of the work in advance","C"
80,"The ________ may sanction the expenditure for the removal of patients suffering from communicable diseases to the nearest isolation hospitals.","Principal, Medical College","Superintendent, Medical College","Lay Secretary, Medical College","none of the above","A"
81,"Payment should ordinarily be made immediately after the stores are taken to stock. In no case should the payment be delayed for more than _________ from the date of receipt of stores.","Fifteen days","thirty days","forty five days","sixty days","D"
82,"Payment to firms abroad is arranged by the _________ through the State Bank of India or any other bank on production of invoices, etc., supported by the certificate of the inspection agents.","Finance Department","Reserve Bank","Accountant General","none of the above","B"
83,"Separate stock accounts should be maintained for","Raw materials and expendible stores used in manufacturing departments, etc.","Office furniture including all office stores except books, forms and stationery","Books, Forms and stationery","all of the above","C"
84,"To ensure that no Government servant should hold stores in stock in excess of the quantity likely to be required for a reasonable period, a responsible officer of the Department should inspect all perishable stores once in each _________.","quarter-year","half-year","year","none of the above","A"
85,"A register in ________ should be maintained by the officer authorised to conduct the auction and all the columns in the register should be filed up at each stage of the auction.","Form No.18","Form No.19","Form No.20","Form No.21","B"
86,"Losses sustained by the Central Government in State treasuries through the negligence or culpability of the staff paid for by a Government in any State and vice versa should be borne as they occur.","by the Central Government if the loss occurs, in connection with Central transactions","by the State Government, if it is on account of State Transactions","both (1) and (2)","None of the above","C"
87,"When a Government servant is to be transferred to foreign service under a private employer, the Government may require the employer to deposit before the transfer is sanctioned, security equivalent to ________ pay of the Government servant in foreign service.","three months","six months","one month","none of the above","A"
88,"When a work is executed on the piece-work contract system, security may also be taken in the form of _________ made from the contractor's bills.","percentage deductions","standard deductions","statutory deductions","none of the above","D"
89,"The _______ contains the rules regarding the preparation, examination and consolidation of the budget estimates, their passage through the Legislature, the distribution of appropriations among controlling and disbursing officers, the responsibility of these officers for watching the progress of expenditure and ensuring that it does not exceed the appropriations, the authorities competent to sanction re-appropriation and the procedure for obtaining supplementary appropriations.","Kerala Financial Code Vol I","Budget Manual","Kerala Account Code Vol I","none of the above","D"
90,"Copies of sanctions/orders relating to grant of advances to non-gazetted officers (except those relating to House Building Advance and Advance for the purchase of a Motor Car/Motor Cycle/Scooter) need not be forwarded to the _________","Finance Department","Accountant General","Treasury Officer","none of the above","C"
91,"The security deposit should be released or returned to the contractor within a maximum period of ________ of the expiration of the contract.","three months","six months","nine months","twelve months","A"
92,"In the matter of purchase of stores by the State Government Departments, Small Scale Industrial Units sponsored by the National Small Industries Corporation Limited, New Delhi and in respect of which competency certificates are issued by the Corporation will be exempted from payment of ________.","earnest money deposits","security deposits","both (1) and (2)","none of the above","B"
93,"In case the earnest money deposited by the successful contractor if any, is less than the security deposit demanded the amount of earnest money may be treated as part of security deposit and the balance amount may be called for from the firm.","incorrect","correct","as per the discretion of the tender accepting authority","none of the above","C"
94,"It is important that for all running contracts, tenders with earnest money should not be invited irrespective of the amount involved.","incorrect","correct","as per the discretion of the tender inviting authority","none of the above","B"
95,"The contract rule that is applicable only to patents and specialities to which tender system cannot be applied with advantage is ________.","rate contract","running contract","negotiated contract","all of the above","D"
96,"Heads of Departments and Officers should see that the furniture required for the offices and the institutions under their control is made of superior wood only, such as teak, jackwood and blackwood.","correct","incorrect","as per the discretion of law officer","none of the above","A"
97,"No earnest money or security deposit is necessary in respect of supplies from","Government Institutions","State Public Sector Industries","State Government Departmental units","all of the above","C"
98,"A register in ________ should be maintained to show the details of the tenders invited; the names of tenderers, the date of receipt, date of opening, etc., of tenders and quotations","Form No.15","Form No.16","Form No.17","Form No.18","B"
99,"Tenders shall be excluded","When the tenders are not in the prescribed form (where forms are prescribed)","When the tender is not signed by the tenderer","When the tender is from a black-listed firm or a banned firm","all of the above","A"
100,"If any firm is to be ignored on grounds of unsatisfactory, performance in respect of a previous contract, the decision should be taken by","Public Works Department","Government","either (1) or (2)","none of the above","D"
